"En la regla del trapecio con $n=5$ para $\int_1^2 \frac{1}{x} dx$, ¿cuál es el valor de $x_3$?",$1.6$.
"Para calcular la cota de error de $f(x) = \frac{1}{x}$ en $[1, 2]$, ¿cuál es la expresión de $|f''(x)|$?",$|\frac{2}{x^3}|$.
¿Por qué se prefiere usar software para estos métodos en lugar de cálculos manuales?,Para facilitar el trabajo con valores de $n$ muy grandes y así mejorar significativamente la precisión.
La Regla de 3/8 de Simpson utiliza _____ valor(es) de función adicionales en comparación con la regla de 1/3 simple.,Un (1).
¿Qué significa que una función carezca de derivados en ciertos puntos para la regla de Simpson?,Significa que la aproximación polinómica puede no ser válida o perder mucha exactitud.
"En la regla del trapecio, la integral se aproxima como $T_n = \frac{\Delta x}{2} [ \dots ]$. ¿Qué términos van dentro del corchete?",$f(x_0) + 2f(x_1) + 2f(x_2) + \dots + 2f(x_{n-1}) + f(x_n)$.
Fórmula: Cota de error de la regla del punto medio.,$|E_M| \le \frac{K(b-a)^3}{24n^2}$.
¿A qué es igual la suma de los errores relativos en una aproximación perfecta?,A cero (el error desaparece).
"¿Cómo se determina el valor de $K$ para la función $f(x) = \frac{1}{x}$ en $[1, 2]$?","Encontrando el valor máximo de $|\frac{2}{x^3}|$ en el intervalo, que es 2 cuando $x=1$."
El método que aproxima la integral mediante una parábola que pasa por tres puntos se llama _____.,Regla de 1/3 de Simpson.
¿Qué factor multiplica a la suma en la fórmula de la Regla de 3/8 de Simpson?,El factor $\frac{3h}{8}$.
"Para el intervalo $[1, 1.2]$, ¿cuál es el valor que se usa en la función para la regla del punto medio?",$1.1$.
¿Qué sucede con el tamaño de la malla $\Delta x$ si duplicamos el número de subintervalos $n$?,Se reduce a la mitad.
"Si $f(x) = x^2$, ¿cuál es su segunda derivada?",$2$.
¿Qué es un interpolante cuadrático?,Un polinomio de grado 2 que se utiliza para estimar valores entre puntos conocidos.
¿Cuál es el valor exacto de $\int_1^2 \frac{1}{x} dx$ mencionado en el texto?,$0.693147 \dots$.
La regla de Simpson es una forma de aproximación numérica de integrales _____.,Definidas.
"En la regla del trapecio, si $n=1$, el método se reduce a calcular el área de un _____ solo trapecio.",Único.
¿Cómo se llama el proceso de sumar los resultados de cada subintervalo en integración numérica?,Enfoque compuesto o regla compuesta.
¿Qué valor de $j$ corresponde al límite superior $b$ en la secuencia $x_j = a + jh$?,$j = n$.
¿Qué ventaja tiene la regla de Simpson sobre la del trapecio en términos de curvas?,Aproxima mejor funciones curvas al usar polinomios de mayor grado en lugar de segmentos rectos.
"En el ejemplo de C++, ¿qué valor de $n$ se sugiere para la aproximación?",$n = 8$.
